FilerEIN,TaxYear,VolunteersInd,PaidStaffOrManagementInd,MediaAdvertisementsInd,MailingsMembersInd,PublicationsOrBroadcastInd,GrantsOtherOrganizationsInd,DirectContactLegislatorsInd,RalliesDemonstrationsInd,OtherActivitiesInd,OtherActivities,TotalLobbyingExpenditures,NotDescribedSection501c3Ind,GrantsOtherOrganizations,CorrectionMadeInd,FilingOrganizationsTotalTotLbbyExpendMnsLbbyngNonTx,Form4720FiledInd,LobbyingCeiling,GrassrootsCeilingAmt,OrganizationBelongsAffltGrpInd,AffiliatedGroupTotalTotLbbyExpendMnsLbbyngNonTxAmt,DirectContactLegislators,TotalExemptFunctionExpend,Form1120POLFiledInd,Form4720Filed4912TaxInd,SubstantiallyAllDuesNondedInd,OnlyInHouseLobbyingInd,AgreeCarryoverPriorYearInd,NonDeductibleLbbyngPltclTot,TaxableAmt,MailingsMembers,PoliticalExpenditures,DuesAssessments,NonDeductibleLbbyngPltclCY,AggregateReportedDuesNtc,VolunteerHoursCnt,Expended527Activities,InternalFundsContributed,MediaAdvertisements,PublicationsOrBroadcast,RalliesDemonstrations,Section4955OrganizationTax,Section4955ManagersTax
841328830,2022,,,,,,,,,,,,,,,,,,,,,,134090,0,,1,0,0,,,,186542,,,,0,15090,119000,,,,,
710467186,2022,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
208295721,2023,false,true,false,true,false,false,true,false,true,57340,3216411,false,,,,,,,,,3159071,,,,,,,,,,,,,,,,,,,,,
453358926,2023,false,false,false,true,false,false,true,false,true,1693000,1693000,false,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,
364724966,2023,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
314379427,2023,0,1,0,0,0,0,1,0,1,39429,1228171,0,,,,,,,,,1188742,,,,,,,,,,0,,,,0,,,,,,,
900656139,2023,0,0,0,1,0,0,1,0,0,,695742,0,,,,,,,,,695742,,,,,,,,,,,,,,,,,,,,,
310999046,2023,false,false,false,false,false,false,false,false,true,18000,18000,false,0,,0,,0,0,,,0,,,,,,,,,0,,,,,,,,0,0,0,,
210650678,2023,0,1,0,0,0,0,1,1,1,7021,27442,0,,,,,,,,,3003,,,,,,,,,,,,,,,,,,,17418,,
943191447,2023,,,,,,,,,,,,,,,0,,190286,47573,X,,,,,,,,,,,,,,,,,,,,,,,
370813229,2023,false,true,false,true,false,false,true,false,true,661015,1297657,false,,,,,,,,,636642,,,,,,,,,0,,,,,,,,,,,,
842593203,2023,,,,,,,,,,,,,,,6104,,132920,33231,,,,,,,,,,,,,,,,,,,,,,,,
942162549,2023,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
860974183,2023,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,224367,,,,,,,,,,,
840445578,2023,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0,0,,,,,
133539048,2023,,,,,,,,,,,,,,,,,,,,,,8206813,true,,true,false,false,,,,9559687,,,,,7094717,1112096,,,,,
510157792,2023,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,
237302826,2023,,,,,,,,,,,,,,,,,,,,,,,,,true,true,false,,,,,,,,,,,,,,,
010879928,2023,,,,,,,,,,,,,,,,,,,,,,214664,false,,true,false,false,,,,214664,,,,133,112189,102475,,,,,
391015575,2023,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,,,,,,,,,
620757525,2023,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,,,,
135562401,2024,false,false,false,false,false,false,false,false,true,80025,80025,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131788491,2024,false,true,false,false,false,true,true,false,true,5334,17162074,false,17047026,,,,,,,,109714,,,,,,,,,,,,,,,,,,,,,
821406555,2024,false,true,false,true,false,false,true,false,false,,220884,false,,,,,,,,,220884,,,,,,,,,,,,,,,,,,,,,
383952644,2024,0,1,0,1,1,0,1,1,1,379406,2205210,0,,,,,,,,,1825804,,,,,,,,,,,,,,,,,,,,,
742683124,2024,,,,,,,,,,,,,,,0,,1832730,458183,X,0,,,,,,,,,,,,,,,,,,,,,,
550643304,2024,false,false,false,false,false,false,false,false,true,125346,125346,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421435199,2024,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
912153073,2024,0,1,0,0,0,0,1,0,1,755686,946070,0,,,,,,,,,190384,,,,,,,,,,,,,,,,,,,,,
204560286,2024,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
237028846,2024,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,
530116130,2024,,,,,,,,,,,,,,,,,,,,,,0,false,,true,false,false,,,,978181,,,,12600,0,0,,,,,
510157792,2024,,,,,,,,,,,,,,,,,,,,,,,false,,true,true,false,,,,,,,,,,,,,,,
912117699,2024,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
208802884,2024,,,,,,,,,,,,,,,,,,,,,,11024075,1,,1,0,0,,,,11024075,,,,,4025394,6998681,,,,,
571136023,2024,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
871832544,2024,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,450595,,,,,,,,,,,
